Agente_de_viagens	Agente de viagens
Anestesista	Anestesista
Contador	Contador
Copiadora	Copiadora
Engenheiro_automotivo	Engenheiro automotivo
Engenheiro_de_automação	Engenheiro de automação
acupunturista	acupunturista
advogado	advogado
agrônomo	agrônomo
analista_de_banco_de_investimento	analista de banco de investimento
analista_de_portfólio	analista de portfólio
analista_de_private_equity	analista de private equity
analista_de_segurança_de_rede	analista de segurança de rede
analista_de_trade_marketing	analista de trade marketing
angariação_de_fundos	angariação de fundos
animador_3d	animador 3d
aquisição_de_talento	aquisição de talento
arquivista	arquivista
artista_do_meio_ambiente	artista do meio ambiente
assessor_de_política	assessor de política
babá	babá
banqueiro	banqueiro
barman	barman
bombeiro	bombeiro
caixa	caixa
cantor	cantor
carpinteiro	carpinteiro
carteiro	carteiro
cinegrafista	cinegrafista
comerciante_de_ações	comerciante de ações
compositor	compositor
comprador_de_mídia	comprador de mídia
consultor_de_estratégia_empresarial	consultor de estratégia empresarial
corretor_de_imóveis	corretor de imóveis
corretor_de_seguros	corretor de seguros
cozinheiro	cozinheiro
dançarino	dançarino
decorador_de_interiores	decorador de interiores
dentista	dentista
desenvolvedor_de_Java	desenvolvedor de Java
desenvolvedor_ios	desenvolvedor ios
desenvolvedor_web	desenvolvedor web
designer_de_moda	designer de moda
designer_gráfico	designer gráfico
designer_têxtil	designer têxtil
designer_urbano	designer urbano
detetive_policial	detetive policial
diretor_de_filme	diretor de filme
diretor_de_galeria	diretor de galeria
editor	editor
editor_de_vídeo	editor de vídeo
encanador	encanador
enfermeira_registrada	enfermeira registrada
engenheiro_aeroespacial	engenheiro aeroespacial
engenheiro_biomédico	engenheiro biomédico
engenheiro_civil	engenheiro civil
engenheiro_de_design_analógico	engenheiro de design analógico
engenheiro_de_perfuração	engenheiro de perfuração
engenheiro_de_rede	engenheiro de rede
engenheiro_de_telecomunicações	engenheiro de telecomunicações
engenheiro_de_transmissão	engenheiro de transmissão
engenheiro_eletrônico	engenheiro eletrônico
engenheiro_mecânico	engenheiro mecânico
engenheiro_sem_fio	engenheiro sem fio
especialista_em_importação_e_exportação	especialista em importação e exportação
especialista_em_logística	especialista em logística
estilista_de_cabelo	estilista de cabelo
executivo_de_relações_públicas	executivo de relações públicas
farmacêutico	farmacêutico
fornecedor	fornecedor
fotógrafo	fotógrafo
geólogo_de_exploração	geólogo de exploração
guardião	guardião
hidrogeólogo	hidrogeólogo
investigador_particular	investigador particular
maquiador	maquiador
marinheiro	marinheiro
mediador	mediador
metalurgista	metalurgista
motorista_de_caminhão	motorista de caminhão
oficial_de_empréstimo	oficial de empréstimo
operador_de_empilhadeira	operador de empilhadeira
operador_químico	operador químico
padeiro	padeiro
personal_trainer	personal trainer
piloto_de_avião	piloto de avião
planejador_de_casamento	planejador de casamento
professor_de_escola_fundamental	professor de escola fundamental
professor_de_história	professor de história
professor_de_jardim_de_infância	professor de jardim de infância
psicoterapeuta	psicoterapeuta
recrutador_técnico	recrutador técnico
representante_de_suporte_técnico	representante de suporte técnico
supervisor_de_recepção	supervisor de recepção
tecnólogo_de_alimentos	tecnólogo de alimentos
tecnólogo_em_radiologia	tecnólogo em radiologia
tosador_de_cachorro	tosador de cachorro
tradutor	tradutor
treinador_de_cachorro	treinador de cachorro
treinador_de_esportes	treinador de esportes
técnico_de_conserto_de_computadores	técnico de conserto de computadores
técnico_de_suporte_de_mesa	técnico de suporte de mesa
veterinário	veterinário
âncora_de_notícias	âncora de notícias
